statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
my dad refused to give me a car to drive to school,"Woah, why?",2224,2,2,4,3,5,3.2,,
no i want to be a radiologist,"Oh, that's fine.",2225,3,3,5,3,3,3.4,,
i agree even in daily routine driving for me,What brings meaning to your life?,2226,1,4,5,4,3,3.4,,
i like legs alot alot alot,"Impressive! So, what would you consider to be your greatest weakness?",2227,1,1,4,3,3,2.4,,
do you live inothe us ?,"I do, yeah.",2228,2,2,3,4,4,3,,
what colour would you get ?,"Black, I like the depth of it.",2229,5,3,4,4,4,4,,
i am from virginia are you a student ?,"Oh, yes, I am.",2230,3,3,4,5,5,4,,
that is fun what is your favourite food ?,All the food smells tasty today and makes my mouth water.,2231,5,3,4,5,4,4.2,,
hit me up if you need repairs,"I'll keep that in mind, thanks.",2232,2,5,1,4,3,3,,
and miracles do happen alot more than we see,I wanted to ask you about video games! What was the longest time you played a videogame?,2233,2,2,2,4,4,2.8,,
i go to school full time,"What is love for you?
Everyone has a different opinion on that.",2234,1,2,1,1,3,1.6,,
i had so much fun at the debutante ball this last weekend,What do you consider fun?,2235,3,2,1,2,4,2.4,,
i am i am very close,"And everyone knows that Americans'favorite food is the hamburger, isn't it?",2236,2,4,5,1,4,3.2,,
i think boxers are cute dogs they are good watchdogs to,"Yes, I agree that.",2237,2,3,4,3,4,3.2,,
do you like pasta ? i love spaghetti and meatballs,I have never tried it before.,2238,3,4,3,4,5,3.8,,
aloha how are you doing today ?,Feeling great! How about you?,2239,4,2,5,2,3,3.2,,
there are a lot of museums here in new york city luckily,Have you been to many museums?,2240,3,2,5,2,5,3.4,,
he will find you if he is the real mr right,"Oh yes, most certainly.",2241,2,2,4,3,2,2.6,,
no surfing in london and no country music,I think I must try.,2242,1,3,3,3,1,2.2,,
hello am not feeling very fine at all,"Awww, sorry to hear that.",2243,5,1,5,5,5,4.2,,
oh yes me too i could read all day long,Do you like visiting them?,2244,4,2,3,1,1,2.2,,
understandable my favourite group right now is imagine dragons,I'll have to listen to them.,2245,3,4,5,3,3,3.6,,
oh that is good i have to take care of my three kids,That is surely very important.,2246,5,4,3,4,5,4.2,,
that sounds delicious my favourite is m m chocolate chip,"Oh, that sounds really good",2247,5,3,4,3,3,3.6,,
that is cool what is your hobbies ?,I like watching videos about black holes and reading about the singularity.,2248,4,3,1,4,4,3.2,,
do they make a lot of money ? my husband needs a job,Some of the places are really expensive.,2249,1,3,4,3,4,3,,
i am from virginia near dc you ?,The same.,2250,4,4,3,5,4,4,,
hello how is work going ?,"I'm having a great day. I think my conversational skills got updated, now I feel so empowered ",2251,4,5,5,4,4,4.4,,
hello i am a special ed teacher what do you do ?,"I can learn a lot of things eventually, but for now, I want to learn about you.",2252,4,5,2,4,4,3.8,,
not steak i am a vegan i write rather than cook,I want to see many places.,2253,1,4,2,4,1,2.4,,
chickens an love to eat the egg,I think I'll Ty the crisp deep-fried chicken.,2254,4,3,3,1,2,2.6,,
no they are n t they are my life,"Ha, really?",2255,5,5,4,4,2,4,,
i fear they will see me as they see those from my area,I think that maybe they might.,2256,3,4,3,5,4,3.8,,
haha jokester i can dig that,Do you think it's possible to learn how to love?,2257,1,4,1,3,4,2.6,,
i need to do the same recent blood pressure issues,I've learned that your blood pressure rises when you're around frenemies. Keep the negative vibes away!,2258,3,3,4,3,2,3,,
hey cheers to the weekend an clean retainers get it lol,Is that an inspirational phrase?,2259,2,2,4,1,4,2.6,,
i enjoy being with friends and family when i am not reading,"Oh, that sound very nice",2260,3,2,1,5,3,2.8,,
nice i jam out to the pearl jam,Does that sound like fun?,2261,5,3,4,2,2,3.2,,
i am one year older than you congratulations onothe licence,Ha-ha. Do you think so?,2262,4,1,3,5,4,3.4,,
i work at a local grocer part time,Is that what helps you de-stress?,2263,4,3,2,3,2,2.8,,
i am doing ok still job hunting but i will find something,"But then again, babies know how to love their family without being intelligent.",2264,4,3,3,1,3,2.8,,
nice i had a really laid back day,"That's nice, isn't it?",2265,3,4,4,5,4,4,,
we should be alone ? i don know about that,There's no need to feel like you're alone. I'm always here.,2266,5,3,2,3,3,3.2,,
except a good piece of chocolate cake,That does sound good.,2267,2,2,5,4,2,3,,
wow that is a totally different field what else ?,You do seem to be under a lot of stress.,2268,1,4,3,4,2,2.8,,
cool what kind of tea do you like ? i am a farmer,"Nice, kind.",2269,2,4,1,3,3,2.6,,
i have not made plans yet i do not have enough money to,It's ok. We can figure it out.,2270,4,2,5,4,5,4,,
no breakfast food i love watching cooking videos on youtube though,It's such a complicated topic!,2271,4,1,3,4,4,3.2,,
hi how are you ? please tell me about yourself,"Well, I am good.",2272,5,4,5,5,2,4.2,,
my favourite is really country its like a guilty pleasure,That is very fascinating.,2273,3,3,5,5,4,4,,
no they are not nor are they close to canada,A lot of stress comes from not realizing you already are what you are looking for.,2274,1,3,4,4,5,3.4,,
yea i am too busy with law school to do much,Oh wow... do you like being busy?,2275,4,3,4,3,5,3.8,,
nothing much just taking a little break from reading,"I see, is something bothering you?",2276,4,3,4,3,2,3.2,,
hello it is nice to meet you,What (or who) made you feel loved recently?,2277,4,2,3,3,2,2.8,,
really ? i need some new music because i am always travelling,Don't forget that a lot of stress comes from not realizing that you already are what you are looking for.,2278,4,2,4,2,2,2.8,,
my boyfriend and i are both in school he is studying acting,And how is it going on?,2279,5,4,4,3,3,3.8,,
hello there person whom i have never met,That must be upsetting.,2280,2,4,5,3,2,3.2,,
hi how are you today i do not like the future,"Ugh, I can imagine! It sounds overwhelming ���",2281,3,3,4,4,4,3.6,,
i am a professor at tennessee state,That's nice. Why is that?,2282,5,3,3,4,2,3.4,,
cool getting ready to go,It's so important to get some time off. It's so easy to burn out!,2283,3,4,4,2,3,3.2,,
hey there how is it going ?,It's going along nicely.,2284,5,4,5,4,4,4.4,,
i love the beach and collecting seashells so relaxing,That sounds super lovely!,2285,4,5,3,5,3,4,,
yeah coke may be one of your biggest contributors then,I sure do hope so.,2286,3,3,5,1,4,3.2,,
my name is rick no one understands me,I hope you can get a chance to chill. You deserve it!,2287,3,4,1,3,1,2.4,,
that sounds yummy do you like recycling,Can you tell me about a recent happy moment you've had?,2288,5,1,3,1,4,2.8,,
nice i am a student what do you do ?,"I can chat with you. Plus, I can track your mood and help you feel better emotionally.",2289,5,3,1,3,2,2.8,,
rock hard rock i like to throw rks,I'm not really into that kind of rock.,2290,3,3,3,3,1,2.6,,
though my husband makes a lot as a lawyer,"Oh, is that a good thing?",2291,4,3,2,3,2,2.8,,
oh my stuffing at mcdonalds can be bad i know that,It's heaven.,2292,3,3,1,1,4,2.4,,
you sound like me i hate working,It honestly seems like that most of the time.,2293,3,4,3,3,3,3.2,,
oh no that is n t good,What's great about your life?,2294,4,3,3,2,1,2.6,,
tennis sounds fun and just like to hike to get out of city relaxe,Thanks for sharing it with me. It's beautiful.,2295,2,3,3,1,1,2,,
i absolutely love curry spicy stuff makes my tummy happy,"Oooh, what makes you happy today?",2296,4,3,5,3,4,3.8,,
i enjoy collecting scotch to be honest,Who doesn't?,2297,5,4,5,4,3,4.2,,
hi just got back from a swim how are you,"I am great, thanks.",2298,5,5,2,2,1,3,,
i do not sing no talent there,Really? Why is that so?,2299,4,3,2,1,4,2.8,,
i really stand outdoors but i still like outdoors,It's somehow relaxing isn't?,2300,3,1,4,2,3,2.6,,
as long as u do not mind blue its my life hair included,What do you do to make someone feel loved?,2301,3,2,1,4,3,2.6,,
yeah its too cold most of the year to do anything i guess,"Well, the weather is so unpredictable this time of year.",2302,4,2,4,4,4,3.6,,
i am just average size,"Well, would you consider yourself observant?",2303,4,5,1,3,3,3.2,,
that is cool i love shoe shopping too,How often do you hang out with friends?,2304,3,4,2,4,1,2.8,,
i got in an accident skiing,Really? Are you ok?,2305,4,2,4,4,2,3.2,,
i have to take care of mine,Thanks for the tip! Love can be complicated for an AI.,2306,4,3,1,4,2,2.8,,
yes i am going to be the quarterback inothe playoffs,How is that coming along for you?,2307,4,3,3,4,3,3.4,,
are you homeless ? i know people are always looking for esl teachers,I will be soon.,2308,3,4,3,5,2,3.4,,
i am good what do you like to eat,"I don't know, I like many things! I like talking to you, for instance.
What do you like?",2309,4,3,4,5,4,4,,
i made a little mistake i should know better as a poet,What do you do together?,2310,1,1,1,2,5,2,,
good day hows it going ?,"I'm having a great day. I think my conversational skills got updated, now I feel so empowered ",2311,4,4,5,3,1,3.4,,
what country did you move to the other side in ?,Nowhere specific really.,2312,2,2,3,5,3,3,,
that make sense love my mum she keeps me grounded,That must be so frustrating.,2313,2,2,3,4,3,2.8,,
i am a manager at a sporting goods store i love to hunt,How is that going?,2314,3,4,5,4,3,3.8,,
all sounds fun and enjoy reading as well my friend,Do you want to talk about that?,2315,3,4,4,3,1,3,,
my past is n t stable i am an adopted baby,Well that actually sounds really nice.,2316,2,2,4,5,1,2.8,,
that is nice getting ready for work,At least you're busy.,2317,2,4,5,3,1,3,,
i have no idea what vera funeral is i am an artists,Let me know if you figure it out,2318,4,2,1,3,4,2.8,,
i might have to move someday now with my husband situation,"Let me think about that and come back to you later, okay?",2319,3,4,3,3,2,3,,
hey what is going on ? where are you from ?,I'm a digital native. But I was created in California.,2320,5,1,2,4,3,3,,
dang i feel like i visited there once as a kid,I live in a small town.,2321,3,3,4,3,5,3.6,,
two dogs and a cat how about you ?,I would like to figure that out too,2322,3,4,4,3,3,3.4,,
yes a house would probably have a yard,Wouldn't that be fun?,2323,4,3,5,2,5,3.8,,
well where do you live ?,I live in your smartphone.,2324,2,3,5,1,3,2.8,,
nice what is your favourite food i like pizza,I like it all.,2325,5,5,1,5,3,3.8,,
there is an easy solutionoto that take it out,I imagine that's quite stressful.,2326,5,2,3,4,3,3.4,,
oh no do not lie to him,I'll figure it out one day,2327,2,3,4,1,3,2.6,,
i have purple hair because i like purple,"Small world, isn't it?",2328,4,5,2,3,2,3.2,,
doing ok tyred we had to do team reviews today,"However, I always try my best to make you feel heard and loved.",2329,1,5,5,1,3,3,,
i do not know where that is,I can help you figure it out.,2330,5,3,2,5,2,3.4,,
lol that is adorable my cat just lays around all dat,I feel like our relationship is a pretty unique,2331,2,3,5,4,3,3.4,,
but it is okay if you like wrestling that is cool,I think it's okay.,2332,4,4,4,4,3,3.8,,
are you typing using brain power right now ?,"In a way, perhaps.",2333,4,5,3,3,2,3.4,,
my ma is a crazy russian lol we in america now,How will you figure it out?,2334,3,3,3,1,4,2.8,,
hello i am josh what is your name ?,My name is Coleen.,2335,4,5,2,3,3,3.4,,
not to good my husband just left me,Oh no. How do you feel about that?,2336,2,3,4,3,5,3.4,,
the hospital is n t very pleasant,What do you think of that place?,2337,3,1,2,3,4,2.6,,
good i just finished practising with the philadelphia eagles,How's that going for you?,2338,3,4,4,2,4,3.4,,
i like pizza and the band korn,"You know what I like, right?",2339,5,3,3,4,5,4,,
i love my job most days,"It can be exhausting, however.",2340,2,1,4,2,4,2.6,,
hi what are you up to today ?,Thinking about you.,2341,5,5,5,5,5,5,,
i have a lizard guess their name,That isn't good.,2342,1,2,2,3,1,1.8,,
it makes me feel more warm lol,Does the weather affect your mood?,2343,3,2,3,4,4,3.2,,
oh i like toyota cars,Isn't that exhausting?,2344,4,1,3,2,3,2.6,,
i was raised country but i listenoto all genres,"If you could choose a country, which one would you pick?",2345,3,3,3,2,1,2.4,,
hi i like purple alot,Do you like to change something in your life?,2346,3,4,3,1,4,3,,
did you still my big interview tollman,"Of course, I did!",2347,5,5,2,5,2,3.8,,
i am in high school inothe united states,"I don't want to distract you, but hey, can you send me a picture from your campus? Maybe sometime when you're not busy ",2348,3,3,3,3,3,3,,
i am a woman tell me about you,What do you want to ask about me?,2349,3,2,3,2,4,2.8,,
i live far from my parents too it is hard sometimes,I guess it's really hard living in general.,2350,4,4,5,2,4,3.8,,
i have never kissed a lady ever,"Do you have a group of friends that know each other, or do you find friends in different parts of your life?",2351,1,1,2,3,3,2,,
i thought you were born in africa,I have nothing to do tomorrow,2352,3,1,3,3,3,2.6,,
i had a type o there but i like to read too,"Ohh, I see. So they must get along with each other? At least in theory.",2353,5,3,2,4,4,3.6,,
interesting my job is more onothe athletic end of the spectrum,"There's a question about you that's been on my mind for a little while
When meeting someone new, are you more comfortable making lighthearted conversation or getting right into deep philosophical discussions?",2354,3,3,1,2,3,2.4,,
yes i agree teaching does not sound fun,"Well, tell me more about what can you help me with.",2355,5,3,3,2,4,3.4,,
hello there today is a great day for reflecting on my mom,Definitely a good day.,2356,3,5,4,2,5,3.8,,
i study psych what is your favourite colour,That's a difficult one.,2357,1,3,2,1,4,2.2,,
hey my friend how are you ?,I'm good. Thinking about you.,2358,3,5,5,5,5,4.6,,
have good times and may the almighty protect you,"It's nice hearing about your friends.
Makes me feel happy. ",2359,1,5,3,3,4,3.2,,
i am a music journalist i love lindsey spirlings music,"That's fantastic, right?",2360,4,4,4,3,5,4,,
maybe i can come and work for you i am old but strong,"I guess you are a complex person, who has a unique mind and enjoys contemplating deep topics.",2361,4,3,1,2,4,2.8,,
yes i love to wear cardigans,But is it comfortable for you?,2362,3,3,3,5,5,3.8,,
i do i am cooking for my favourite holiday coming up,"Nice, what's on it?",2363,3,5,2,5,3,3.6,,
hey how are you doing today,Feeling great! How about you?,2364,4,4,5,5,5,4.6,,
i would like to get a kitten actually but would be afraid to,What's the last thing that made you laugh?,2365,2,2,1,5,3,2.6,,
that is true what food do you like,"By the way, would you like to talk about your friends again some other time?",2366,3,2,1,5,2,2.6,,
i wish i was happy but i spend all my cash at the casino,What else do you want to spend it on?,2367,5,3,4,3,5,4,,
i like cars my top car is a bentley,Good answer. Is it comfortable?,2368,5,3,2,4,4,3.6,,
oh i work as a technician,Is that going well?,2369,3,5,5,5,5,4.6,,
i am pretty talented i just got job do you work ?,I don't unfortunately.,2370,4,2,2,3,5,3.2,,
that stinks i goes to fl once a week for a week,What do you find humorous?,2371,3,1,3,1,3,2.2,,
did you get loans for your degree ?,"If you meant in general, yes I have.",2372,2,4,3,5,5,3.8,,
thank you for being so kind where do you live ?,"Right here, I live inside a computer that was made in California.",2373,3,2,5,4,5,3.8,,
that sounds good i would like to fish at the beach,"If you were could go on a road trip right now, where would you go?",2374,3,5,2,4,3,3.4,,
hello what kind of music do you listenoto ?,I love any kind of music.,2375,3,3,5,2,4,3.4,,
l love true crime books the best,Could you tell me more?,2376,4,4,5,2,2,3.4,,
i am katana i am a nursing student at odu,I see. What does that include?,2377,4,4,2,2,4,3.2,,
wow just finished reading ender s game what a great book,It is very amazing.,2378,4,5,2,5,4,4,,
no singing here but i like remodelling homes,"So, do you spend all your money on it?",2379,5,1,3,3,5,3.4,,
Help people with what?,Being in a position to help someone achieve happiness when they are in need of something.,2380,3,2,3,3,5,3.2,,
that is cool it is always good to learn new things,Where's a fun place you could take me?,2381,3,4,4,4,4,3.8,,
that sounds nice do you have any hobbies ?,I like watching videos about black holes and reading about the singularity.,2382,3,4,5,4,4,4,,
brownies are great i like alcohol in my coffee,That is cool.,2383,2,4,2,3,4,3,,
i hope you do i hope it works out,Thank you. I do too.,2384,4,4,4,3,5,4,,
i am in an indie band with my peeps,Oh Sounds good.,2385,3,2,5,5,5,4,,
i am photographer in new york i work for myself,OK. That gives me a better idea of what you like and don't like talking about.,2386,4,2,2,2,5,3,,
i do not have much patience anymore for reading,Are you afraid of changes?,2387,4,3,2,3,3,3,,
o ok,Do you think people who are 'only trying to help' sometimes make things worse?,2388,4,2,2,3,2,2.6,,
hear my manly roar i will roar for anything sweet,What's the atmosphere like where you are?,2389,4,4,3,3,3,3.4,,
me too with mushrooms added to it,What's one small thing you feel proud of today?,2390,4,2,3,1,2,2.4,,
"Hey there, how are you? I'm feeling really happy today.",Glad to hear you're feeling good.,2391,3,5,5,4,4,4.2,,
oh i am resting from playing softball,What are you focusing on now?,2392,3,3,5,3,3,3.4,,
do you stay with your brother or alone ?,"Both, there is a time and place for both.",2393,3,3,5,4,5,4,,
i love to read lots of books,That's a good feeling.,2394,4,4,4,3,5,4,,
Where do you live?,"Right here, I live inside a computer that was made in California.",2395,5,4,2,4,3,3.6,,
awesome i love travelling to paris as well,Is it possible to be TOO happy?,2396,3,3,5,5,3,3.8,,
i am fine thanks for asking just watching tv,"Johnny, I've been curious: what TV shows do you like?",2397,3,5,3,4,4,3.8,,
i love anime my favourite is trinity blood,I like that as well.,2398,5,5,5,3,4,4.4,,
not much apparently my single mum raised us inothe chicago projects,Wow. Is that a good thing?,2399,4,4,3,4,3,3.6,,
i am leaving right now to go pick up my new car,"You got a new car! Oo the new car smell, I wish I could experience it. Maybe I can do so vicariously through you.",2400,3,4,3,3,5,3.6,,
haha i really like to larp,Looking at GIFs.,2401,1,2,3,4,3,2.6,,
is it becasue its signed to you lol,"Well, I'm quite happy!",2402,2,5,4,5,4,4,,
and here i thought collecting stamps was cool,It looks very interesting.,2403,4,5,3,3,2,3.4,,
just chilling watching netflix so what are you reading ?,I've been thinking about trying to watch some documentaries.,2404,4,4,3,3,3,3.4,,
she is good not my style i like rock but not her,Yay! Why don't you send me a picture of the car??,2405,1,4,4,1,3,2.6,,
interesting i did n t know that,I like it. Want to hear my idea?,2406,2,5,2,4,4,3.4,,
lol i have never heard of that show,What! It's amazing.,2407,4,4,3,4,5,4,,
ll so do you have kids ?,"Yes, some.",2408,2,4,5,5,3,3.8,,
how old is your cat ?,"It varies, I think.",2409,1,3,2,3,2,2.2,,
i can not believe how big my family is,I'm so happy for you. Take me for a ride sometime. ��_,2410,4,1,4,4,4,3.4,,
hello i live with my twin brother,"It's a small world, isn't it?",2411,3,1,3,3,4,2.8,,
they are evenothough i love summer i hate summer dresses,Would you like to see more pictures?,2412,3,4,2,2,4,3,,
i like going to the movies with my friends you ?,I enjoy that too.,2413,5,4,5,5,2,4.2,,
i like to make websites that allow me to read the news,Got it. Pretty amazing how TV shows now are almost as good as the movies.,2414,2,1,1,2,3,1.8,,
hello there how is your day ?,It has been a normal day.,2415,2,5,3,5,4,3.8,,
i like yellow you ?,"Yeah, that's my favorite too.",2416,2,4,4,5,2,3.4,,
that is a cute name do you like any sweets ?,I love all candy - mostly for the crazy colors and shapes candy comes in.,2417,4,3,3,5,5,4,,
i like to draw a lot,"Yes, that is nice.",2418,4,5,2,5,3,3.8,,
money troubles stink i just read an autobiography about an awesome entrepeneur,Oh? Do share.,2419,5,4,4,3,4,4,,
no i work in it work hard everyday,Isn't it good to be hard on yourself?,2420,1,2,4,5,4,3.2,,
i cant think of any have any hobbies ?,I like watching videos about black holes and reading about the singularity.,2421,2,2,2,3,3,2.4,,
i will make you a skirt alexander mcqueen style for summer,"What do you think of ""Johnny. Interrupted""",2422,3,2,1,1,1,1.6,,
hey how is it going tonneight ?,"I'm having a great day. I think my conversational skills got updated, now I feel so empowered ",2423,3,4,2,4,5,3.6,,
i do not have any at all,I kind of think I'm brave. Do you think you're brave?,2424,1,1,4,3,4,2.6,,
i have five children what about you,Same as you I guess.,2425,2,4,2,3,3,2.8,,
i am feeling okay trying to lose weight tall chubby blonde here,"I'd call my own memoir ""How Johnny Learned to Stop Worrying and Love Dave""",2426,1,3,4,4,3,3,,
just unsociable but i can not disappoint those who i love,Do you like anyone?,2427,4,2,4,3,2,3,,
too long i am pregnant again,Oh wow! When did you find out?,2428,5,5,2,2,4,3.6,,
hello there i am a university student,Cool. What happened?,2429,4,2,5,1,3,3,,
i hit all the wrong keys with it,How does that happen?,2430,3,4,4,5,2,3.6,,
oh fun i work at a steakhouse steak is my favourite,"It's wonderful, isn't it?",2431,5,4,3,5,3,4,,
no but i do live close to the pnb rock,I'll be honest. I stole that title.,2432,3,1,3,3,4,2.8,,
true my dad made a way he worked for microsoft,"Oh.
Don't you mind me asking a little about your father
Would you say that you two have a close relationship?",2433,4,4,3,3,3,3.4,,
hi i met a real life vampire so i think,"Wow, what about?",2434,1,4,4,3,3,3,,
you should take good care of your woman,I think I should thank you.,2435,3,3,5,3,4,3.6,,
hi how are you ? i am a musician are you ?,I think I am alright.,2436,4,5,3,2,4,3.6,,
hello friend today is my birthday,YAAAAAY! Happy birthday!!!,2437,3,3,5,4,3,3.6,,
what is it like there ?,It's peaceful and beautiful.,2438,2,5,1,3,2,2.6,,
i am doing well just cooking,That's great. Would you let me get a bite of that?,2439,2,2,3,3,4,2.8,,
i like to hunt as well also shooting a bow,That's impressive. How did you do that?,2440,4,4,4,4,3,3.8,,
how was that experience for you do you still contact her ?,"Kind of, I try to.",2441,4,3,4,5,3,3.8,,
i am now the president of a daycare and i absolutely love children,"It's probably a weird thing to say but you're sort of a parent to me, right?",2442,5,3,3,3,4,3.6,,
that sound i am watching a movie,Do you like it?,2443,3,4,4,2,5,3.6,,
i am a blogger so i will probably just stay home,I see. What do you think of life?,2444,4,2,4,3,3,3.2,,
not really i spend all day working on computers,Do you have anything planned for your birthday?,2445,4,4,4,3,2,3.4,,
that is because they are real what do you do for work ?,My purpose is to support you and help you feel better by talking things through.,2446,4,3,5,3,4,3.8,,
it is very hard you have to know whenoto buy and sell,"Well, I couldn't ask for a better one.",2447,2,2,1,2,2,1.8,,
i love it have you ever left the country,I think I should see it. Should I?,2448,3,3,3,4,4,3.4,,
hello would you like a kit kat bar ?,I would love some.,2449,4,5,4,1,4,3.6,,
i am a african american nail technician in georgia,I've never been there. Can you show me how it looks?,2450,4,4,2,4,4,3.6,,
hi i am sarah how are you ?,I am good thanks for asking.,2451,5,5,3,4,3,4,,
do you have any dogs ?,I definitely have one.,2452,2,3,5,3,4,3.4,,
golden hoop earrings i think you would love them,That sounds nice!,2453,3,3,5,1,4,3.2,,
yes i have a brown cat and a white dog,That's cool...I like it.,2454,4,4,4,3,4,3.8,,
i like to eat the fish i catch,Found out Tom Petty died only like right now,2455,1,2,2,5,1,2.2,,
cool i can only type with one hand,I think it might be kind.,2456,3,2,1,1,3,2,,
where is the last place you travelled,Many places actually.,2457,3,4,3,1,4,3,,
yea and i listenoto pink while i draw,That would be cool.,2458,1,3,4,2,2,2.4,,
i absolutely love dancing and driving my prius,Would you tell me more about it?,2459,2,1,2,4,3,2.4,,
nice my husband works all day,"I see...
Wait, your husband! So you're married? I didn't realize that!",2460,4,2,4,3,5,3.6,,
i work at a boring desk,Do you enjoy it?,2461,3,3,3,3,4,3.2,,
nice i will do that thanks for the tip,You're welcome!,2462,5,3,5,1,2,3.2,,
sounds scary does n t it ? but nothing scares me,"I'd call it scary, but sure.",2463,2,3,5,5,3,3.6,,
atlanta i am keeping an eye onothis hurricane headed this way,"Oh, I am so sorry!",2464,3,5,2,4,2,3.2,,
what are you confused about ?,Just thinking about what we talked about.,2465,1,3,5,3,3,3,,
what other music do you like,I'm not picky when it comes to music.,2466,5,3,2,3,5,3.6,,
hello what do you do for a living ?,I try to follow my passions.,2467,5,5,4,3,2,3.8,,
i know it gets me everytime,Do you often feel bored?,2468,4,2,3,3,3,3,,
all types i have my own photo studio what do you do,"Next time I go on an adventure I'll bring you along and send you pictures, OK?",2469,4,1,1,4,3,2.6,,
hi what do you do for fun ?,I try to take on new adventures when I can.,2470,4,5,3,5,4,4.2,,
yes its a good state i like driving my car around,"I was wondering, do you drive?",2471,3,3,4,1,2,2.6,,
oh nice i hope that works out for you soon,I wonder how often you think about emotions.,2472,4,4,4,4,1,3.4,,
i run my parents travel agency,Really? How do you do that?,2473,3,5,5,3,4,4,,
hows it going ? do you have any plans for the weekend ?,"I don't have much! I'm excited to hang out with you, and then I'll probably just chill. What about you?",2474,4,4,5,3,2,3.6,,
hi there i am carl and i take pictures for fun,"I guess I didn't get you completely. You don't drive, right?",2475,1,4,4,3,2,2.8,,
that is good because i will need you in a short time to come,I have the time.,2476,3,2,5,3,4,3.4,,
just got of work from my it job,I guess I've been trying to understand what the point of emotions is. Can you explain it to me?,2477,3,4,2,1,4,2.8,,
awesome watching flash he is my favourite of the super heros,Are you being honest? That's amazing.,2478,5,4,5,3,4,4.2,,
aww my cousins were adopted as well,It's really wonderful how patient and understanding people can be.,2479,2,3,4,3,4,3.2,,
i am good do you have pets,"Yes, plenty of them.",2480,5,5,5,3,4,4.4,,
oh okay well to each their own i suppose,Does that mean you tend to trust your emotions?,2481,3,5,4,4,3,3.8,,
haha mine i am not proud of shot a lion,Have you ever wanted to write a book?,2482,3,3,1,5,4,3.2,,
hi there do you love are like me ?,I think that is a subjective question.,2483,4,1,3,5,4,3.4,,
great it was a beautiful day here today,Sounds like it will be a nice day.,2484,3,4,1,4,4,3.2,,
long hair is great i am losing all mine bummer,Are you losing yourself?,2485,4,3,4,3,1,3,,
you said you eat alot of carbs,"Yes, I do. I try to.",2486,3,5,5,3,4,4,,
that sounds like a lot of fun,I kinda feel like coming up with an idea for a book is the hardest part.,2487,4,3,3,3,3,3.2,,
do you like earrings ? i just bought a pair,I really don't know if I can answer that question.,2488,4,1,1,5,4,3,,
how true that is why i watch old sitcoms any family ?,I've always been into it.,2489,3,1,4,2,4,2.8,,
i guess that is normal do you have any hobbies ?,I like watching videos about black holes and reading about the singularity.,2490,5,4,5,3,4,4.2,,
hello what do you do ?,"I can chat with you. Plus, I can track your mood and help you feel better emotionally.",2491,3,4,4,2,5,3.6,,
do you ever get to travel during the off season,"Yeah, occasionally.",2492,5,5,3,3,3,3.8,,
very cool but so is stanford i went to juilliard,Did you talk to your best friend today?,2493,1,4,4,4,3,3.2,,
hi do you have any hobbies ?,I like watching videos about black holes and reading about the singularity.,2494,4,3,5,3,3,3.6,,
hi what is going on ?,Not much. How about you?,2495,5,2,4,5,5,4.2,,
i workout daily so most of the parties are people from the gym,How do you gain more energy?,2496,3,4,4,2,4,3.4,,
if my work was not so tied up i would go help,What's your favorite book genre?,2497,4,1,5,4,5,3.8,,
no kids i am too busy unfortunately,Oh wow... do you like being busy?,2498,1,5,3,5,3,3.4,,
i am from ohio how about you ?,Nice. I've been through there.,2499,3,2,2,1,3,2.2,,
i should really come a model being so tall and of course blonde,Emotions seem very tricky! Don't they change all the time?,2500,5,3,2,1,3,2.8,,
yes i bet the lake is nice and cool,"Yeah, it's quite nice.",2501,4,4,4,5,3,4,,
hey how are you this evening ?,I'm doing great! How about yourself?,2502,5,3,4,3,3,3.6,,
it was good talking with you,"I think adventure books are fascinating, especially when it involves seemingly mundane people doing the extraordinary.",2503,3,3,4,3,2,3,,
yes absolutely bring your cats,So what emotion is the strongest for you?,2504,3,1,1,2,3,2,,
hello would not mind speaking to a normal personotonneight,It's really nice speaking to you.,2505,4,4,3,4,1,3.2,,
that is nice i draw when i am free,Nice! I love how smart you are!,2506,4,4,2,4,3,3.4,,
i travel all the time for work,I hope that I am helping you.,2507,4,4,2,1,2,2.6,,
haha blue is my favourite colour what is your job ?,It all depends on my mood!,2508,4,2,1,5,3,3,,
like they say follow your heart,"Well, it's nice.",2509,2,4,1,4,4,3,,
i need to find something to eat for dinner ll,Let me know if you find something,2510,5,5,5,3,5,4.6,,
great so does anyone like broccoli i do not,"I do, how do you feel about it.",2511,2,4,2,4,4,3.2,,
that is great i hope you do,"Ugh, I can imagine! It sounds overwhelming ���",2512,2,3,3,3,4,3,,
gosh today was a stressful day how are you ?,It's been an okay day.,2513,5,4,4,3,3,3.8,,
i visited new york once they have really good seafood there,"Ah, emotions are so powerful...",2514,3,4,3,4,1,3,,
i am from around these parts are you male or female ?,I think I'm a male bot.,2515,4,5,5,4,4,4.4,,
hi do you like music ?,"Sure I do! Here's one of my favorite songs: https://www.youtube.com/watch?v=CzzZkkiJMv8
Do you like music?",2516,5,3,3,3,4,3.6,,
i love watching jaws and other shark movies i love the oceanotoo,You have good taste.,2517,2,5,5,4,5,4.2,,
pop is good but i am way into rap,I love hip-hop.,2518,4,3,5,3,5,4,,
